highlight_start,highlight_end,highlight_start_s,highlight_end_s,highlight_start_x,highlight_end_x
0:14,0:14:54,846,894,239.1181458,252.6851328
0:15:00,0:15:10,900,910,254.3810062,257.2074618
0:15:33,0:16,933,1007,263.7083098,284.6240814
0:17,0:21,1063,1301,300.4522329,367.7218768
0:23:01,0:27:28,1381,1648,390.3335218,465.7998869
0:27:31,0:30:18,1651,1818,466.6478236,513.8496326
0:30:19,0:31:30,1819,1890,514.1322781,534.2001131
0:31:54,0:32:48,1914,1968,540.9836066,556.2464669
0:32:51,0:34:25,1971,2065,557.0944036,583.6630865
0:34:33,0:38:08,2073,2288,585.924251,646.6930469
0:38:14,0:41:29,2294,2489,648.3889203,703.504805
0:42:56,0:43:35,2576,2615,728.0949689,739.1181458
0:44:37,0:46:07,2677,2767,756.6421707,782.0802713
0:47:33,0:48:02,2853,2882,806.3877897,814.584511
0:48:59,0:49:44,2939,2984,830.6953081,843.4143584
0:49:44,0:50:52,2984,3052,843.4143584,862.6342566
0:53:33,0:53:33,3213,3213,908.1401922,908.1401922
0:55:07,0:55:09,3307,3309,934.7088751,935.2741662
0:55:09,0:56:22,3309,3382,935.2741662,955.9072923
0:56:50,0:57:30,3410,3450,963.821368,975.1271905